"Region","year","value","value.lb","value.ub"
"LTU",2017,3.24953781944717,3.24953781944717,3.24953781944717
"LUX",2017,0.554865654860177,0.554865654860177,0.554865654860177
"LVA",2017,2.16523785857535,2.16523785857535,2.16523785857535
"MAC",2017,0.593484170636487,0.593484170636487,0.593484170636487
"MAR",2017,34.4651558465232,34.4651558465232,34.4651558465232
"MDA",2017,3.35930030620924,3.35930030620924,3.35930030620924
"MDG",2017,25.1833617233285,25.1833617233285,25.1833617233285
"MDV",2017,0.350170683910166,0.350170683910166,0.350170683910166
"MEX",2017,123.934498619816,123.934498619816,123.934498619816
"MKD",2017,2.10753432126869,2.10753432126869,2.10753432126869
"MLI",2017,19.1128912771205,19.1128912771205,19.1128912771205
"MLT",2017,0.427182066858256,0.427182066858256,0.427182066858256
"MMR",2017,50.0293740855003,50.0293740855003,50.0293740855003
"MNE",2017,0.646773349215813,0.646773349215813,0.646773349215813
"MNG",2017,3.06565548048158,3.06565548048158,3.06565548048158
"MOZ",2017,27.2127045794222,27.2127045794222,27.2127045794222
"MRT",2017,4.05234699241955,4.05234699241955,4.05234699241955
"MUS",2017,1.35085843421007,1.35085843421007,1.35085843421007
"MWI",2017,18.5326248497703,18.5326248497703,18.5326248497703
"MYS",2017,31.7902880201423,31.7902880201423,31.7902880201423
"NAM",2017,2.54663739855128,2.54663739855128,2.54663739855128
"NCL",2017,0.277445314983367,0.277445314983367,0.277445314983367
"NER",2017,20.0359379495677,20.0359379495677,20.0359379495677
"NGA",2017,190.163558527867,190.163558527867,190.163558527867
"NIC",2017,6.36460199315775,6.36460199315775,6.36460199315775
"NLD",2017,16.9046570238283,16.9046570238283,16.9046570238283
"NOR",2017,5.16750812099156,5.16750812099156,5.16750812099156
"NPL",2017,34.5589139366766,34.5589139366766,34.5589139366766
"NZL",2017,4.64603970390361,4.64603970390361,4.64603970390361
"OMN",2017,3.16030072639121,3.16030072639121,3.16030072639121
"PAK",2017,199.597486418952,199.597486418952,199.597486418952
"PAN",2017,3.89799302927813,3.89799302927813,3.89799302927813
"PER",2017,31.325881476545,31.325881476545,31.325881476545
"PHL",2017,105.96047793464,105.96047793464,105.96047793464
"PNG",2017,7.88347285002307,7.88347285002307,7.88347285002307
"POL",2017,38.1201368155297,38.1201368155297,38.1201368155297
"PRI",2017,3.7461945890139,3.7461945890139,3.7461945890139
"PRT",2017,10.7199899216076,10.7199899216076,10.7199899216076
"PRY",2017,7.27487265090124,7.27487265090124,7.27487265090124
"PSE",2017,4.7548601545282,4.7548601545282,4.7548601545282
